linesOfCode,numberOfNodes,numberOfCauses,numberOfLocations,duration
2,8,2,2,12
7,28,2,2,13
7,28,4,4,15
7,28,6,6,18
12,48,2,2,20
12,48,4,4,24
12,48,6,6,32
12,48,8,8,44
12,48,10,10,64
12,48,12,12,95
17,68,2,2,34
17,68,4,4,41
17,68,6,6,50
17,68,8,8,68
17,68,10,10,89
17,68,12,12,124
17,68,14,14,186
17,68,16,16,249
22,88,2,2,53
22,88,4,4,59
22,88,6,6,71
22,88,8,8,95
22,88,10,10,117
22,88,12,12,156
22,88,14,14,209
22,88,16,16,289
22,88,18,18,395
22,88,20,20,544
22,88,22,22,739
27,108,2,2,76
27,108,4,4,86
27,108,6,6,103
27,108,8,8,123
27,108,10,10,153
27,108,12,12,194
27,108,14,14,251
27,108,16,16,330
27,108,18,18,445
27,108,20,20,599
27,108,22,22,796
27,108,24,24,1049
27,108,26,26,1385
32,128,2,2,102
32,128,4,4,117
32,128,6,6,133
32,128,8,8,157
32,128,10,10,185
32,128,12,12,235
32,128,14,14,293
32,128,16,16,381
32,128,18,18,497
32,128,20,20,656
32,128,22,22,838
32,128,24,24,1114
32,128,26,26,1454
32,128,28,28,1873
32,128,30,30,2363
37,148,2,2,127
37,148,4,4,152
37,148,6,6,166
37,148,8,8,198
37,148,10,10,227
37,148,12,12,271
37,148,14,14,348
37,148,16,16,447
37,148,18,18,566
37,148,20,20,716
37,148,22,22,909
37,148,24,24,1185
37,148,26,26,1537
37,148,28,28,1984
37,148,30,30,2511
42,168,2,2,165
42,168,4,4,191
42,168,6,6,211
42,168,8,8,238
42,168,10,10,280
42,168,12,12,321
42,168,14,14,394
42,168,16,16,486
42,168,18,18,613
42,168,20,20,772
42,168,22,22,984
42,168,24,24,1267
42,168,26,26,1604
42,168,28,28,2044
42,168,30,30,2585
47,188,2,2,208
47,188,4,4,231
47,188,6,6,255
47,188,8,8,279
47,188,10,10,324
47,188,12,12,383
47,188,14,14,455
47,188,16,16,550
47,188,18,18,680
47,188,20,20,849
47,188,22,22,1065
47,188,24,24,1329
47,188,26,26,1701
47,188,28,28,2107
47,188,30,30,2687
52,208,2,2,250
52,208,4,4,275
52,208,6,6,302
52,208,8,8,331
52,208,10,10,379
52,208,12,12,435
52,208,14,14,510
52,208,16,16,611
52,208,18,18,754
52,208,20,20,930
52,208,22,22,1151
52,208,24,24,1448
52,208,26,26,1800
52,208,28,28,2250
52,208,30,30,2802
57,228,2,2,304
57,228,4,4,326
57,228,6,6,352
57,228,8,8,394
57,228,10,10,449
57,228,12,12,501
57,228,14,14,580
57,228,16,16,687
57,228,18,18,837
57,228,20,20,1010
57,228,22,22,1240
57,228,24,24,1532
57,228,26,26,1904
57,228,28,28,2336
57,228,30,30,2894
62,248,2,2,355
62,248,4,4,378
62,248,6,6,414
62,248,8,8,452
62,248,10,10,509
62,248,12,12,565
62,248,14,14,647
62,248,16,16,762
62,248,18,18,908
62,248,20,20,1097
62,248,22,22,1327
62,248,24,24,1639
62,248,26,26,2007
62,248,28,28,2443
62,248,30,30,2976
67,268,2,2,408
67,268,4,4,442
67,268,6,6,485
67,268,8,8,510
67,268,10,10,569
67,268,12,12,639
67,268,14,14,726
67,268,16,16,843
67,268,18,18,993
67,268,20,20,1190
67,268,22,22,1431
67,268,24,24,1726
67,268,26,26,2101
67,268,28,28,2568
67,268,30,30,3141
72,288,2,2,477
72,288,4,4,511
72,288,6,6,542
72,288,8,8,578
72,288,10,10,641
72,288,12,12,719
72,288,14,14,811
72,288,16,16,939
72,288,18,18,1096
72,288,20,20,1290
72,288,22,22,1532
72,288,24,24,1849
72,288,26,26,2160
72,288,28,28,2671
72,288,30,30,3212
77,308,2,2,527
77,308,4,4,560
77,308,6,6,610
77,308,8,8,657
77,308,10,10,720
77,308,12,12,799
77,308,14,14,903
77,308,16,16,1008
77,308,18,18,1180
77,308,20,20,1383
77,308,22,22,1635
77,308,24,24,1949
77,308,26,26,2320
77,308,28,28,2767
77,308,30,30,3336
82,328,2,2,607
82,328,4,4,663
82,328,6,6,690
82,328,8,8,737
82,328,10,10,810
82,328,12,12,885
82,328,14,14,987
82,328,16,16,1110
82,328,18,18,1274
82,328,20,20,1470
82,328,22,22,1718
82,328,24,24,2067
82,328,26,26,2434
82,328,28,28,2912
82,328,30,30,3475
87,348,2,2,689
87,348,4,4,728
87,348,6,6,776
87,348,8,8,826
87,348,10,10,895
87,348,12,12,1015
87,348,14,14,1085
87,348,16,16,1220
87,348,18,18,1373
87,348,20,20,1588
87,348,22,22,1844
87,348,24,24,2164
87,348,26,26,2558
87,348,28,28,3020
87,348,30,30,3595
92,368,2,2,772
92,368,4,4,818
92,368,6,6,852
92,368,8,8,917
92,368,10,10,981
92,368,12,12,1070
92,368,14,14,1185
