linesOfCode,numberOfNodes,numberOfCauses,numberOfLocations,duration
2,8,2,2,10
7,28,2,2,15
7,28,2,4,16
7,28,2,6,11
12,48,2,2,19
12,48,2,4,33
12,48,2,6,38
12,48,2,8,38
12,48,2,10,31
12,48,2,12,21
17,68,2,2,37
17,68,2,4,70
17,68,2,6,87
17,68,2,8,100
17,68,2,10,94
17,68,2,12,90
17,68,2,14,74
17,68,2,16,52
22,88,2,2,50
22,88,2,4,117
22,88,2,6,153
22,88,2,8,184
22,88,2,10,193
22,88,2,12,199
22,88,2,14,182
22,88,2,16,173
22,88,2,18,141
22,88,2,20,112
22,88,2,22,76
27,108,2,2,72
27,108,2,4,173
27,108,2,6,236
27,108,2,8,290
27,108,2,10,329
27,108,2,12,346
27,108,2,14,348
27,108,2,16,334
27,108,2,18,321
27,108,2,20,286
27,108,2,22,250
27,108,2,24,202
27,108,2,26,161
32,128,2,2,113
32,128,2,4,229
32,128,2,6,354
32,128,2,8,447
32,128,2,10,492
32,128,2,12,540
32,128,2,14,561
32,128,2,16,570
32,128,2,18,554
32,128,2,20,539
32,128,2,22,498
32,128,2,24,453
32,128,2,26,399
32,128,2,28,334
32,128,2,30,266
37,148,2,2,131
37,148,2,4,323
37,148,2,6,473
37,148,2,8,600
37,148,2,10,700
37,148,2,12,777
37,148,2,14,835
37,148,2,16,861
37,148,2,18,861
37,148,2,20,856
37,148,2,22,849
37,148,2,24,798
37,148,2,26,740
37,148,2,28,670
37,148,2,30,609
42,168,2,2,165
42,168,2,4,415
42,168,2,6,633
42,168,2,8,792
42,168,2,10,943
42,168,2,12,1060
42,168,2,14,1160
42,168,2,16,1207
42,168,2,18,1249
42,168,2,20,1267
42,168,2,22,1250
42,168,2,24,1237
42,168,2,26,1188
42,168,2,28,1130
42,168,2,30,1046
47,188,2,2,202
47,188,2,4,519
47,188,2,6,792
47,188,2,8,1025
47,188,2,10,1236
47,188,2,12,1403
47,188,2,14,1539
47,188,2,16,1621
47,188,2,18,1693
47,188,2,20,1731
47,188,2,22,1758
47,188,2,24,1761
47,188,2,26,1720
47,188,2,28,1677
47,188,2,30,1615
52,208,2,2,247
52,208,2,4,628
52,208,2,6,995
52,208,2,8,1292
52,208,2,10,1532
52,208,2,12,1749
52,208,2,14,1937
52,208,2,16,2144
52,208,2,18,2218
52,208,2,20,2302
52,208,2,22,2368
52,208,2,24,2375
52,208,2,26,2375
52,208,2,28,2344
52,208,2,30,2297
57,228,2,2,297
57,228,2,4,752
57,228,2,6,1191
57,228,2,8,1572
57,228,2,10,1898
57,228,2,12,2194
57,228,2,14,2413
57,228,2,16,2637
57,228,2,18,2772
57,228,2,20,2888
57,228,2,22,3029
57,228,2,24,3100
57,228,2,26,3123
57,228,2,28,3112
57,228,2,30,3092
62,248,2,2,349
62,248,2,4,911
62,248,2,6,1425
62,248,2,8,1889
62,248,2,10,2287
62,248,2,12,2688
62,248,2,14,2978
62,248,2,16,3242
62,248,2,18,3461
62,248,2,20,3649
62,248,2,22,3814
62,248,2,24,3895
62,248,2,26,3959
62,248,2,28,4030
62,248,2,30,4028
67,268,2,2,405
67,268,2,4,1079
67,268,2,6,1683
67,268,2,8,2233
67,268,2,10,2731
67,268,2,12,3197
67,268,2,14,3578
67,268,2,16,3893
67,268,2,18,4175
67,268,2,20,4471
67,268,2,22,4658
67,268,2,24,4834
67,268,2,26,4951
67,268,2,28,5005
67,268,2,30,5138
72,288,2,2,470
72,288,2,4,1263
72,288,2,6,2008
72,288,2,8,2714
72,288,2,10,3385
72,288,2,12,3755
72,288,2,14,4422
72,288,2,16,4701
72,288,2,18,5187
72,288,2,20,5452
72,288,2,22,5706
72,288,2,24,5917
72,288,2,26,6226
72,288,2,28,6181
72,288,2,30,6252
77,308,2,2,530
77,308,2,4,1425
77,308,2,6,2271
77,308,2,8,3040
77,308,2,10,3772
77,308,2,12,4417
77,308,2,14,4985
77,308,2,16,5521
77,308,2,18,5953
77,308,2,20,6321
77,308,2,22,6749
77,308,2,24,7044
77,308,2,26,7223
77,308,2,28,7370
77,308,2,30,7550
82,328,2,2,600
82,328,2,4,1626
82,328,2,6,2560
82,328,2,8,3506
82,328,2,10,4416
82,328,2,12,5046
82,328,2,14,5736
82,328,2,16,6428
82,328,2,18,7045
82,328,2,20,7578
82,328,2,22,7938
82,328,2,24,8354
82,328,2,26,8678
82,328,2,28,9004
82,328,2,30,9100
87,348,2,2,680
87,348,2,4,1858
87,348,2,6,2952
87,348,2,8,3935
87,348,2,10,4894
87,348,2,12,5720
87,348,2,14,6658
87,348,2,16,7235
87,348,2,18,7960
87,348,2,20,8559
87,348,2,22,9133
87,348,2,24,9697
87,348,2,26,10273
87,348,2,28,10360
87,348,2,30,10851
92,368,2,2,768
92,368,2,4,2099
92,368,2,6,3344
92,368,2,8,4460
92,368,2,10,5552
92,368,2,12,6512
92,368,2,14,7467
92,368,2,16,8273
92,368,2,18,8951
92,368,2,20,9737
92,368,2,22,10223
92,368,2,24,10825
92,368,2,26,11547
92,368,2,28,12007
92,368,2,30,12413
97,388,2,2,850
97,388,2,4,2359
97,388,2,6,3757
97,388,2,8,5073
97,388,2,10,6272
97,388,2,12,7395
97,388,2,14,8436
97,388,2,16,9434
97,388,2,18,10337
97,388,2,20,11316
97,388,2,22,12051
97,388,2,24,12704
97,388,2,26,13117
97,388,2,28,13579
97,388,2,30,14061
