linesOfCode,numberOfNodes,numberOfCauses,numberOfLocations,duration
3,745,2,2,78
7,765,2,2,75
7,765,4,4,64
7,765,6,6,69
12,785,2,2,84
12,785,4,4,77
12,785,6,6,88
12,785,8,8,115
12,785,10,10,127
13,785,12,12,161
17,805,2,2,100
17,805,4,4,94
17,805,6,6,109
17,805,8,8,136
17,805,10,10,151
17,805,12,12,188
17,805,14,14,253
17,805,16,16,317
22,825,2,2,106
22,825,4,4,131
22,825,6,6,132
22,825,8,8,150
22,825,10,10,188
22,825,12,12,217
22,825,14,14,274
22,825,16,16,370
22,825,18,18,463
22,825,20,20,595
23,825,22,22,796
27,845,2,2,127
27,845,4,4,142
27,845,6,6,168
27,845,8,8,177
27,845,10,10,206
27,845,12,12,258
27,845,14,14,308
27,845,16,16,384
27,845,18,18,509
27,845,20,20,642
27,845,22,22,827
27,845,24,24,1073
27,845,26,26,1341
32,865,2,2,155
32,865,4,4,182
32,865,6,6,186
32,865,8,8,220
32,865,10,10,242
32,865,12,12,284
32,865,14,14,357
32,865,16,16,429
32,865,18,18,536
32,865,20,20,693
32,865,22,22,867
32,865,24,24,1103
32,865,26,26,1410
32,865,28,28,1761
32,865,30,30,2186
37,885,2,2,195
37,885,4,4,203
37,885,6,6,221
37,885,8,8,254
37,885,10,10,277
37,885,12,12,337
37,885,14,14,383
37,885,16,16,468
37,885,18,18,592
37,885,20,20,726
37,885,22,22,916
37,885,24,24,1154
37,885,26,26,1435
37,885,28,28,1797
37,885,30,30,2257
42,905,2,2,217
42,905,4,4,248
42,905,6,6,256
42,905,8,8,304
42,905,10,10,331
42,905,12,12,368
42,905,14,14,434
42,905,16,16,529
42,905,18,18,635
42,905,20,20,781
42,905,22,22,982
42,905,24,24,1203
42,905,26,26,1503
42,905,28,28,1875
42,905,30,30,2310
47,925,2,2,272
47,925,4,4,277
47,925,6,6,298
47,925,8,8,343
47,925,10,10,369
47,925,12,12,420
47,925,14,14,501
47,925,16,16,573
47,925,18,18,708
47,925,20,20,845
47,925,22,22,1038
47,925,24,24,1297
47,925,26,26,1586
47,925,28,28,1948
47,925,30,30,2417
52,945,2,2,299
52,945,4,4,329
52,945,6,6,347
52,945,8,8,376
52,945,10,10,429
52,945,12,12,472
52,945,14,14,543
52,945,16,16,646
52,945,18,18,752
52,945,20,20,916
52,945,22,22,1095
52,945,24,24,1343
52,945,26,26,1664
52,945,28,28,2016
52,945,30,30,2467
57,965,2,2,361
57,965,4,4,369
57,965,6,6,411
57,965,8,8,432
57,965,10,10,468
57,965,12,12,544
57,965,14,14,595
57,965,16,16,706
57,965,18,18,816
57,965,20,20,971
57,965,22,22,1180
57,965,24,24,1419
57,965,26,26,1736
57,965,28,28,2099
57,965,30,30,2540
62,985,2,2,410
62,985,4,4,420
62,985,6,6,446
62,985,8,8,493
62,985,10,10,529
62,985,12,12,601
62,985,14,14,660
62,985,16,16,761
62,985,18,18,898
62,985,20,20,1043
62,985,22,22,1262
62,985,24,24,1503
62,985,26,26,1802
62,985,28,28,2195
62,985,30,30,2641
67,1005,2,2,459
67,1005,4,4,474
67,1005,6,6,500
67,1005,8,8,555
67,1005,10,10,584
67,1005,12,12,666
67,1005,14,14,724
67,1005,16,16,830
67,1005,18,18,981
67,1005,20,20,1122
67,1005,22,22,1342
67,1005,24,24,1575
67,1005,26,26,1892
67,1005,28,28,2287
67,1005,30,30,2714
72,1025,2,2,520
72,1025,4,4,533
72,1025,6,6,574
72,1025,8,8,622
72,1025,10,10,662
72,1025,12,12,735
72,1025,14,14,797
72,1025,16,16,903
72,1025,18,18,1049
72,1025,20,20,1203
72,1025,22,22,1420
72,1025,24,24,1668
72,1025,26,26,1981
72,1025,28,28,2371
72,1025,30,30,2819
77,1045,2,2,580
77,1045,4,4,594
77,1045,6,6,646
77,1045,8,8,677
77,1045,10,10,730
77,1045,12,12,808
77,1045,14,14,883
77,1045,16,16,997
77,1045,18,18,1119
77,1045,20,20,1283
77,1045,22,22,1497
77,1045,24,24,1744
77,1045,26,26,2084
77,1045,28,28,2461
77,1045,30,30,2922
82,1065,2,2,633
82,1065,4,4,661
82,1065,6,6,706
82,1065,8,8,734
82,1065,10,10,803
82,1065,12,12,868
82,1065,14,14,950
82,1065,16,16,1074
82,1065,18,18,1183
82,1065,20,20,1386
82,1065,22,22,1578
82,1065,24,24,1819
82,1065,26,26,2186
82,1065,28,28,2556
82,1065,30,30,3020
87,1085,2,2,695
87,1085,4,4,739
87,1085,6,6,782
87,1085,8,8,811
87,1085,10,10,891
87,1085,12,12,940
87,1085,14,14,1050
87,1085,16,16,1148
87,1085,18,18,1284
87,1085,20,20,1466
87,1085,22,22,1677
87,1085,24,24,1960
87,1085,26,26,2271
87,1085,28,28,2667
87,1085,30,30,3123
92,1105,2,2,766
92,1105,4,4,822
92,1105,6,6,848
92,1105,8,8,915
92,1105,10,10,952
92,1105,12,12,1042
92,1105,14,14,1116
92,1105,16,16,1229
92,1105,18,18,1391
92,1105,20,20,1556
92,1105,22,22,1784
92,1105,24,24,2041
92,1105,26,26,2394
92,1105,28,28,2762
92,1105,30,30,3249
97,1125,2,2,842
97,1125,4,4,885
97,1125,6,6,927
97,1125,8,8,977
97,1125,10,10,1056
97,1125,12,12,1121
97,1125,14,14,1220
97,1125,16,16,1324
97,1125,18,18,1481
97,1125,20,20,1659
97,1125,22,22,1878
97,1125,24,24,2164
97,1125,26,26,2459
97,1125,28,28,2885
97,1125,30,30,3346
